"F03_1";"F04_2";"F06_2";"F10_2";"F05_1";"F08_4";"F03_3";"F08_2";"F01_3";"F07_2";"F02_2";"F04_4";"F06_1";"F05_3";"F10_1";"F08_3";"F02_4";"F09_2";"F08_1";"F04_1";"F04_3";"F01_4";"F01_2";"F05_2";"F10_3";"F09_1";"F03_2";"F09_3";"F10_4";"F02_1";"F01_1";"F02_3";"F07_1"
"4";"5";"4";"5";"4";"4";"4";"5";"5";"1";"5";"4";"3";"5";"4";"5";"5";"4";"4";"4";"5";"4";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"2"
"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1"
"5";"5";"4";"5";"5";"4";"4";"4";"4";"5";"5";"5";"4";"4";"5";"4";"5";"3";"4";"4";"5";"4";"5";"5";"4";"4";"4";"4";"4";"5";"4";"5";"4"
"4";"4";"4";"5";"5";"4";"4";"5";"4";"2";"4";"5";"4";"5";"4";"4";"5";"5";"5";"4";"5";"5";"5";"4";"5";"5";"4";"5";"4";"4";"4";"5";"2"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1"
"2";"4";"4";"3";"4";"4";"2";"3";"4";"2";"5";"4";"3";"4";"4";"4";"4";"3";"4";"3";"4";"4";"5";"4";"4";"4";"1";"5";"4";"4";"5";"4";"2"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3"
"4";"5";"4";"5";"5";"5";"3";"5";"4";"4";"5";"5";"3";"4";"5";"5";"5";"3";"5";"5";"5";"5";"5";"3";"5";"5";"3";"4";"5";"5";"5";"5";"3"
"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"3";"4";"4";"4";"4";"4";"5"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5"
"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2"
"4";"5";"4";"4";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3"
"5";"5";"4";"5";"5";"4";"4";"4";"4";"4";"5";"4";"5";"4";"5";"4";"4";"5";"5";"5";"4";"4";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5"
"5";"4";"4";"5";"5";"4";"5";"4";"5";"3";"5";"4";"4";"5";"5";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"4";"5";"5";"3"
"5";"5";"5";"3";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"3";"5";"5";"5";"1"
"4";"4";"4";"4";"4";"5";"4";"5";"5";"2";"4";"5";"4";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"4";"5";"5";"5";"5";"4";"5";"5";"2"
"5";"5";"4";"5";"5";"5";"4";"5";"5";"2";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2"
"5";"4";"4";"4";"4";"4";"5";"4";"3";"3";"4";"4";"3";"4";"4";"4";"4";"4";"5";"4";"4";"4";"3";"4";"4";"4";"5";"4";"4";"3";"3";"4";"3"
"4";"4";"4";"4";"5";"4";"4";"4";"5";"4";"5";"4";"4";"4";"5";"4";"5";"5";"4";"4";"4";"5";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";"4"
"5";"4";"5";"5";"5";"5";"4";"5";"5";"3";"5";"4";"4";"5";"4";"5";"5";"5";"5";"4";"4";"5";"4";"5";"5";"5";"4";"5";"4";"4";"4";"5";"3"
"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5"
"5";"4";"4";"5";"5";"5";"4";"4";"5";"5";"4";"4";"4";"4";"4";"5";"5";"4";"5";"5";"5";"4";"5";"5";"4";"5";"4";"5";"4";"5";"4";"5";"4"
"5";"4";"4";"4";"5";"5";"4";"5";"4";"2";"4";"4";"4";"4";"5";"5";"5";"4";"5";"5";"5";"4";"5";"5";"4";"5";"4";"4";"5";"5";"5";"5";"2"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1"
"5";"5";"2";"5";"5";"5";"4";"5";"5";"1";"5";"5";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1"
"4";"4";"5";"3";"5";"3";"3";"4";"5";"1";"4";"4";"4";"5";"3";"3";"5";"4";"4";"5";"5";"5";"5";"4";"4";"5";"4";"5";"4";"4";"5";"4";"2"
"5";"5";"4";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"3"
"3";"4";"3";"3";"3";"3";"5";"3";"5";"4";"4";"4";"4";"5";"4";"4";"4";"3";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"5";"2"
"3";"4";"3";"2";"4";"4";"3";"3";"3";"5";"5";"4";"3";"4";"2";"3";"4";"3";"3";"4";"4";"4";"5";"3";"2";"4";"3";"3";"2";"4";"5";"5";"5"
"5";"5";"1";"5";"5";"5";"5";"5";"5";"2";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2"
"4";"5";"3";"5";"5";"5";"5";"5";"5";"1";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"2"
"5";"4";"3";"4";"4";"5";"4";"5";"1";"5";"1";"5";"4";"3";"4";"5";"2";"4";"3";"4";"4";"1";"1";"4";"4";"4";"4";"4";"3";"1";"1";"1";"5"
"5";"5";"4";"4";"5";"4";"5";"4";"5";"5";"5";"3";"4";"4";"4";"4";"5";"4";"4";"5";"5";"5";"5";"3";"4";"5";"5";"5";"4";"5";"5";"5";"5"
"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"4";"5";"5";"4"
"5";"5";"4";"2";"4";"4";"4";"4";"5";"4";"4";"5";"4";"5";"2";"4";"4";"5";"3";"5";"4";"5";"5";"5";"2";"5";"4";"5";"2";"4";"4";"4";"4"
"4";"5";"4";"4";"5";"5";"5";"5";"4";"5";"4";"5";"4";"4";"5";"5";"5";"5";"5";"4";"5";"4";"5";"5";"5";"4";"4";"5";"4";"5";"5";"5";"5"
"2";"5";"4";"4";"5";"3";"3";"4";"4";"5";"5";"5";"3";"3";"5";"4";"5";"2";"4";"5";"5";"4";"5";"2";"4";"3";"3";"2";"4";"5";"5";"5";"5"
"3";"5";"5";"3";"5";"2";"4";"1";"4";"5";"5";"5";"5";"1";"3";"2";"5";"2";"3";"4";"5";"4";"5";"3";"3";"2";"4";"2";"3";"5";"5";"4";"5"
"3";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"3";"4";"4";"3";"4";"4";"4";"4";"3";"4";"3";"3";"3";"3";"3";"4";"4";"4";"4"
"3";"5";"4";"5";"5";"4";"4";"4";"5";"2";"5";"4";"4";"4";"5";"5";"5";"4";"4";"5";"5";"5";"5";"4";"5";"4";"3";"4";"5";"5";"5";"5";"2"
"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5"
"3";"5";"4";"5";"5";"5";"4";"5";"3";"3";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"2"
"3";"3";"3";"3";"3";"3";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"3";"4";"3";"4"
"4";"5";"5";"4";"3";"4";"2";"4";"3";"5";"5";"4";"4";"4";"5";"4";"3";"4";"4";"4";"3";"2";"4";"5";"3";"5";"5";"5";"4";"4";"4";"1";"4"
"4";"4";"5";"5";"5";"3";"5";"5";"5";"2";"4";"4";"3";"4";"4";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"2"
"4";"4";"2";"2";"3";"5";"4";"4";"4";"5";"2";"2";"2";"2";"4";"5";"4";"3";"4";"5";"5";"5";"5";"3";"4";"4";"4";"1";"4";"4";"5";"5";"4"
"4";"3";"3";"3";"3";"3";"5";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3";"3";"3";"4";"3";"3"
"4";"4";"3";"4";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"3";"4";"5";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"2"
"4";"5";"4";"5";"4";"4";"5";"5";"4";"2";"4";"5";"5";"4";"4";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"5";"4";"2"
"4";"4";"4";"2";"4";"4";"4";"5";"5";"2";"4";"4";"4";"5";"3";"5";"4";"5";"5";"4";"4";"5";"5";"4";"4";"4";"4";"5";"4";"4";"5";"5";"2"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1"
"5";"5";"4";"4";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"4";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2"
"4";"4";"3";"4";"4";"3";"5";"4";"5";"3";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"4";"4";"5";"5";"3";"3";"4";"4";"5";"4";"4";"5";"3"
"2";"4";"4";"3";"3";"3";"3";"2";"3";"1";"4";"4";"3";"3";"2";"3";"3";"2";"4";"3";"2";"4";"4";"3";"4";"3";"4";"3";"1";"2";"3";"2";"3"
"5";"4";"3";"4";"4";"4";"4";"5";"5";"5";"5";"4";"5";"5";"3";"5";"4";"5";"3";"5";"5";"4";"5";"3";"5";"4";"3";"3";"4";"5";"4";"4";"4"
"4";"4";"4";"4";"4";"4";"4";"4";"5";"3";"5";"4";"4";"5";"4";"4";"5";"4";"4";"4";"4";"5";"5";"5";"4";"4";"4";"4";"4";"4";"5";"5";"2"
"3";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"4";"4";"4";"3";"4";"4";"4";"4";"4";"3";"3";"3";"4";"3";"3";"4";"4";"4";"4"
"4";"4";"5";"5";"5";"5";"4";"4";"4";"5";"4";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"5";"5";"4"
"5";"4";"3";"4";"5";"3";"3";"4";"4";"5";"5";"3";"5";"3";"5";"5";"5";"4";"5";"5";"5";"5";"5";"4";"5";"5";"4";"5";"4";"3";"4";"4";"5"
"4";"5";"4";"4";"4";"4";"5";"5";"5";"2";"5";"5";"4";"5";"4";"4";"4";"4";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";"5";"4";"4";"5";"2"
"2";"3";"2";"1";"3";"1";"3";"1";"3";"5";"3";"3";"2";"2";"2";"2";"3";"2";"2";"4";"5";"4";"4";"4";"2";"3";"4";"3";"1";"4";"4";"2";"5"
"5";"4";"3";"5";"5";"5";"5";"5";"5";"3";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3"
"5";"5";"4";"5";"5";"5";"5";"5";"5";"1";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2"
"5";"4";"4";"4";"4";"4";"5";"4";"5";"2";"5";"4";"4";"4";"4";"4";"5";"4";"4";"4";"4";"5";"5";"4";"4";"4";"5";"4";"4";"5";"5";"5";"2"
"5";"5";"4";"5";"5";"5";"5";"5";"5";"1";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1"
"4";"5";"4";"4";"5";"4";"3";"4";"4";"5";"5";"5";"4";"4";"5";"4";"4";"4";"4";"5";"5";"4";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5"
"5";"5";"4";"5";"5";"5";"5";"5";"5";"3";"5";"4";"4";"5";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"3"
"5";"5";"5";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3"
"3";"3";"5";"2";"4";"3";"3";"3";"3";"4";"4";"3";"3";"4";"4";"2";"3";"4";"5";"5";"4";"4";"4";"5";"2";"4";"4";"2";"1";"3";"5";"4";"4"
"4";"4";"4";"4";"5";"4";"4";"4";"4";"1";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"1"
"4";"5";"4";"5";"4";"4";"4";"5";"5";"1";"5";"5";"4";"4";"5";"4";"4";"5";"4";"5";"4";"4";"5";"5";"4";"4";"4";"4";"5";"4";"4";"4";"2"
"3";"4";"3";"4";"4";"4";"3";"4";"3";"4";"4";"3";"3";"3";"4";"4";"4";"3";"4";"4";"4";"3";"4";"3";"4";"3";"3";"3";"3";"4";"4";"4";"4"
"5";"5";"3";"4";"5";"4";"5";"4";"5";"4";"5";"5";"3";"5";"4";"4";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5"
"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2"
"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"5";"4"
"5";"5";"4";"5";"4";"4";"5";"4";"5";"5";"5";"5";"4";"4";"5";"4";"5";"3";"4";"5";"5";"5";"5";"4";"3";"4";"5";"3";"4";"5";"5";"5";"4"
"3";"5";"5";"4";"4";"5";"4";"4";"4";"3";"4";"4";"5";"4";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"2";"4";"4";"5";"4";"4";"3"
"3";"5";"5";"4";"4";"5";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"2";"4";"4";"5";"4";"4";"3"
"4";"4";"3";"4";"3";"3";"4";"3";"4";"3";"3";"4";"3";"3";"4";"3";"3";"3";"3";"4";"4";"4";"4";"3";"3";"3";"4";"3";"3";"3";"4";"3";"3"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1"
"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2"
"3";"4";"4";"4";"4";"4";"3";"4";"5";"3";"4";"4";"4";"5";"4";"4";"4";"4";"3";"5";"4";"5";"4";"5";"5";"4";"3";"4";"5";"4";"4";"4";"3"
"4";"5";"5";"5";"5";"4";"4";"4";"5";"4";"5";"5";"4";"5";"4";"4";"5";"4";"5";"4";"5";"4";"5";"5";"5";"4";"5";"5";"5";"4";"4";"5";"4"
